MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,id
5,7,10,4,7,6,3,8,4,6,5,6,4,6,3,3,2,2,3,3,0.485,54
4,6,6,0,4,7,3,8,3,4,2,8,3,6,6,7,5,10,11,6,0.545,55
5,10,3,7,9,9,5,6,4,6,3,6,6,9,4,7,6,2,5,4,0.58,56
4,3,7,6,4,5,5,2,2,2,5,7,5,3,6,5,4,6,7,8,0.48,57
4,2,5,1,3,6,7,8,3,5,4,2,2,6,3,4,5,4,8,2,0.42,58
6,6,6,4,5,6,3,7,6,4,4,3,4,3,5,6,5,5,4,1,0.465,59
2,2,5,5,3,3,1,7,2,5,7,5,9,5,9,8,11,8,7,6,0.55,60
2,5,5,4,6,10,1,4,3,3,2,5,3,8,6,6,5,4,7,4,0.465,61
7,4,4,6,7,7,5,2,6,6,4,6,6,7,6,8,7,5,7,4,0.57,62
6,7,5,1,6,5,2,3,9,7,6,4,7,5,5,5,4,6,3,6,0.51,63
3,7,6,4,3,8,2,4,7,5,8,7,3,3,6,5,5,3,2,5,0.48,64
5,3,1,3,6,5,3,3,4,7,7,5,9,1,2,7,6,8,5,5,0.475,65
6,7,8,2,7,6,6,3,5,4,1,6,8,9,5,6,4,4,4,7,0.54,66
6,4,6,5,6,4,7,2,8,4,8,6,6,4,6,5,7,3,4,8,0.545,67
6,9,4,4,2,4,1,6,9,3,4,5,5,3,4,5,2,5,4,5,0.45,68
3,4,9,8,6,6,9,5,10,1,8,2,2,7,6,4,6,3,6,4,0.545,69
12,5,6,3,3,7,3,3,6,4,7,5,7,8,3,2,4,8,7,8,0.555,70
6,9,5,9,4,7,4,5,5,7,3,7,7,6,4,4,1,4,8,8,0.565,71
6,4,6,2,5,9,9,4,5,3,3,5,5,11,3,2,4,6,4,7,0.515,72
4,5,4,8,3,6,3,3,5,5,8,6,5,6,6,6,5,8,2,4,0.51,73
5,6,10,6,3,5,3,4,8,10,6,8,5,5,7,9,6,9,3,4,0.61,74
8,5,5,6,4,3,3,6,7,6,1,10,4,2,5,1,6,9,1,2,0.47,75
2,6,4,2,3,6,6,2,6,5,3,5,5,6,2,3,8,9,4,8,0.475,76
9,7,4,8,3,7,5,5,1,9,3,5,6,4,7,4,6,3,8,6,0.55,77
6,7,9,3,6,2,4,3,1,4,4,2,10,2,10,2,3,9,4,12,0.515,78
3,2,1,2,5,6,5,0,2,4,3,6,4,2,4,7,3,4,5,3,0.355,79
3,3,1,8,3,4,7,9,4,6,4,3,6,6,3,2,6,0,9,7,0.47,80
5,3,7,7,4,4,4,3,10,11,2,6,4,4,8,5,9,6,8,4,0.57,81
2,6,6,3,4,1,6,6,5,4,4,2,5,3,3,4,5,4,7,5,0.425,82
9,6,8,8,8,6,4,3,6,4,7,4,10,4,4,10,8,5,4,6,0.62,83
2,6,7,5,6,9,10,7,4,5,5,4,1,2,8,4,4,3,3,6,0.505,84
2,4,11,4,4,7,6,5,5,3,4,4,2,1,8,7,6,4,4,4,0.475,85
9,6,10,5,4,3,3,5,2,10,4,3,5,9,5,11,4,5,3,3,0.545,86
6,6,4,5,8,5,5,7,8,6,5,10,4,4,9,4,6,5,2,4,0.565,87
6,5,4,2,6,6,7,3,7,3,1,2,5,4,5,6,11,5,8,0,0.48,88
7,1,5,4,5,3,2,3,5,3,11,6,0,7,4,5,4,8,4,2,0.445,89
2,4,5,7,3,5,3,4,4,7,5,2,2,3,6,4,9,6,7,2,0.45,90
7,5,4,2,5,7,6,7,2,3,4,3,3,4,4,9,9,3,6,2,0.475,91
5,7,6,6,4,5,5,3,7,3,6,5,2,6,9,5,2,6,10,10,0.56,92
9,7,2,2,2,1,4,8,10,4,7,7,4,4,5,7,6,4,7,4,0.52,93
3,2,4,12,5,5,3,7,4,3,8,1,8,4,4,4,8,6,3,8,0.51,94
7,4,11,4,8,3,8,4,4,5,6,5,3,4,4,6,2,4,2,9,0.515,95
7,2,6,8,4,2,9,4,6,4,3,2,4,13,8,6,5,8,7,4,0.56,96
5,2,3,7,7,6,9,3,4,6,5,10,8,5,5,9,6,6,2,5,0.565,97
6,5,5,3,6,8,4,6,2,7,3,11,4,3,7,7,5,5,5,10,0.56,98
6,4,5,8,6,2,0,4,3,6,0,6,5,4,6,7,5,4,4,7,0.46,99
5,5,2,6,6,5,6,6,8,6,5,5,4,4,3,3,3,3,6,2,0.465,100
5,6,7,5,4,3,4,8,4,5,5,3,3,4,5,5,6,4,3,5,0.47,101
5,8,8,7,6,5,7,10,4,2,5,5,6,5,3,0,3,7,5,2,0.515,102
6,8,10,3,6,7,9,3,8,2,9,4,4,2,5,10,4,3,3,3,0.545,103
5,4,8,3,3,4,5,8,8,8,5,3,7,4,3,8,4,6,9,5,0.55,104
10,7,5,3,4,8,6,2,6,4,3,8,3,9,4,10,4,4,5,10,0.575,105
2,5,7,5,4,3,2,1,3,5,4,6,6,3,4,6,2,4,3,8,0.415,106
2,6,2,5,0,4,4,6,7,8,6,6,2,4,7,5,2,4,8,2,0.45,107
4,12,7,8,4,9,2,6,4,4,5,2,10,4,8,7,3,6,5,5,0.575,108
5,5,0,2,3,4,8,3,5,1,10,7,3,5,2,5,11,5,4,5,0.465,109
5,6,3,6,7,3,4,4,3,6,3,9,6,4,5,6,3,2,1,8,0.47,110
4,4,0,8,8,5,10,2,3,6,5,10,3,6,8,8,3,4,5,6,0.54,111
6,5,1,7,7,7,3,8,6,2,3,5,11,12,8,5,11,3,4,4,0.59,112
4,11,3,2,3,5,6,4,7,13,8,4,7,7,8,7,5,6,3,7,0.6,113
7,4,6,9,6,5,6,8,6,3,3,1,2,5,6,6,8,7,1,4,0.515,114
5,2,5,3,5,7,5,2,7,4,5,5,2,4,3,5,3,4,7,9,0.46,115
4,5,7,3,5,7,5,1,4,2,4,5,3,3,9,3,7,8,3,8,0.48,116
1,4,5,4,0,2,5,8,3,2,8,4,4,3,5,11,6,5,8,6,0.47,117
9,5,6,4,2,4,5,1,6,2,9,3,4,3,3,4,4,7,9,6,0.48,118
6,5,7,9,1,4,6,5,6,4,3,7,3,2,2,5,1,2,1,5,0.42,119
7,5,8,6,3,5,2,4,8,8,2,6,6,4,5,7,3,5,4,1,0.495,120
4,3,5,4,4,4,3,6,5,11,4,3,3,4,4,8,4,7,4,4,0.47,121
4,5,4,5,6,4,5,4,5,6,5,5,8,4,4,4,9,7,2,9,0.525,122
3,6,5,7,1,3,8,5,9,8,5,5,7,2,3,3,8,5,6,3,0.51,123
6,5,5,4,8,8,9,2,4,6,6,4,5,8,3,9,8,8,6,5,0.595,124
8,5,6,4,7,2,4,6,4,9,3,13,5,3,10,9,3,5,4,8,0.59,125
4,3,5,7,6,5,1,2,5,8,6,7,3,5,7,2,5,5,2,2,0.45,126
7,2,7,7,8,7,1,3,1,2,6,9,9,4,4,1,4,1,8,4,0.475,127
4,6,4,0,7,6,9,10,4,4,9,6,3,3,2,5,3,3,8,7,0.515,128
5,1,6,0,6,5,6,8,4,5,5,10,3,4,5,8,5,7,2,3,0.49,129
4,5,6,5,1,6,4,10,4,2,3,9,5,4,5,4,1,4,2,5,0.445,130
2,8,1,4,9,7,7,4,7,6,5,2,8,6,15,7,8,4,6,7,0.615,131
6,6,4,5,8,3,4,5,13,4,2,3,4,5,8,6,6,5,6,4,0.535,132
4,1,1,5,5,2,5,10,6,7,4,1,9,3,6,3,3,4,4,4,0.435,133
3,7,8,3,1,3,3,5,4,6,9,8,4,8,4,1,5,5,6,2,0.475,134
7,3,3,4,4,4,5,5,6,2,4,4,2,6,5,8,10,8,9,6,0.525,135
6,5,2,4,3,7,4,5,2,6,4,8,9,5,8,5,7,4,8,3,0.525,136
6,5,7,3,3,6,2,6,8,5,7,5,6,3,5,5,1,7,5,2,0.485,137
4,5,4,2,9,6,5,6,5,10,4,4,3,5,14,7,4,1,6,4,0.54,138
8,4,6,7,10,5,2,4,5,4,7,8,5,9,3,5,9,5,3,4,0.565,139
7,6,3,6,9,3,4,11,5,3,3,9,5,5,5,1,5,8,5,6,0.545,140
5,5,6,7,4,3,3,4,2,5,5,7,3,5,6,7,5,6,3,6,0.485,141
2,5,6,11,6,8,4,7,6,5,5,0,2,9,7,4,4,8,2,7,0.54,142
3,4,7,6,6,4,6,7,7,6,2,5,1,3,5,7,2,2,7,1,0.455,143
5,5,8,5,7,4,4,4,5,4,3,11,5,4,4,9,6,2,7,5,0.535,144
10,9,2,5,5,6,4,8,6,5,2,3,2,6,4,1,6,16,5,2,0.535,145
7,8,4,6,7,5,9,5,5,7,6,4,3,4,3,4,2,9,6,3,0.535,146
3,6,6,6,1,10,2,3,5,10,4,4,4,8,7,4,7,6,2,3,0.505,147
10,5,4,4,3,2,5,3,4,6,3,1,8,0,3,2,5,7,8,5,0.44,148
7,7,5,6,3,5,5,3,7,8,0,5,4,5,4,4,7,3,6,3,0.485,149
4,4,10,5,7,6,1,2,3,2,3,4,5,3,7,9,4,2,2,4,0.435,150
6,8,7,6,5,8,11,5,5,6,5,2,5,5,5,4,6,6,9,3,0.585,151
3,4,5,3,5,6,5,4,6,4,3,3,6,5,6,2,1,4,8,5,0.44,152
6,3,1,2,5,4,3,9,8,3,3,2,5,3,3,5,1,4,5,6,0.405,153
7,8,3,4,3,3,3,1,3,5,3,6,5,9,3,6,8,5,2,6,0.465,154
8,3,9,6,6,5,5,4,5,6,5,4,4,6,6,11,5,6,7,4,0.575,155
8,8,6,3,4,10,3,9,2,7,4,5,5,4,7,6,5,6,7,2,0.555,156
2,8,1,4,3,4,4,7,5,9,5,3,6,5,4,2,9,6,5,3,0.475,157
8,4,6,5,4,8,6,5,4,7,3,4,5,8,2,5,3,8,2,6,0.515,158
6,3,5,8,9,4,6,11,2,8,3,4,6,7,2,4,7,4,2,5,0.53,159
3,5,2,3,3,4,3,3,5,5,5,4,5,6,6,0,8,7,4,1,0.41,160
4,3,8,7,14,3,2,6,3,4,6,8,6,7,2,4,5,7,7,6,0.56,161
4,5,1,7,8,4,5,8,3,3,6,8,6,5,6,2,4,4,8,5,0.51,162
8,7,6,6,7,2,5,7,10,4,6,8,5,5,2,7,9,6,2,4,0.58,163
4,2,5,6,7,3,4,2,5,3,4,3,6,6,5,2,6,6,4,9,0.46,164
6,6,5,2,4,6,5,5,5,3,3,5,6,6,5,2,4,3,2,2,0.425,165
5,4,4,2,4,4,1,6,5,2,7,4,6,2,4,2,2,1,5,6,0.38,166
3,3,2,9,5,7,4,6,7,6,7,6,2,4,8,4,6,9,4,4,0.53,167
5,6,5,9,5,3,1,7,4,6,5,7,4,7,6,5,7,2,4,5,0.515,168
3,5,5,3,3,2,3,6,6,3,5,1,5,4,6,7,4,2,6,3,0.41,169
5,6,6,9,7,4,2,6,5,4,9,2,5,4,5,5,11,7,6,4,0.56,170
1,6,5,4,6,5,3,6,7,0,6,3,7,5,5,4,6,5,10,7,0.505,171
6,3,4,3,5,6,6,3,3,3,9,8,6,11,4,7,5,5,6,1,0.52,172
4,8,7,5,7,3,1,3,7,4,7,7,3,6,4,7,7,4,7,6,0.535,173
7,8,5,7,2,3,3,4,3,6,8,8,7,4,3,4,4,7,2,2,0.485,174
7,7,4,4,5,5,7,10,4,6,3,4,5,2,5,3,5,4,7,3,0.5,175
1,5,4,5,3,4,1,3,5,6,5,3,6,3,5,2,4,4,3,4,0.38,176
6,5,5,6,0,5,2,4,5,6,7,7,10,8,13,7,5,5,3,7,0.58,177
5,5,8,7,4,7,5,7,9,5,3,7,4,6,5,6,3,7,7,6,0.58,178
5,0,5,6,8,3,5,3,1,3,4,3,10,3,5,7,3,3,5,8,0.45,179
3,7,4,5,2,4,4,13,6,5,5,3,5,7,3,5,6,1,4,5,0.485,180
4,5,3,5,1,6,4,3,5,6,5,7,3,5,5,2,6,5,5,6,0.455,181
4,4,7,11,6,5,7,8,3,5,3,8,10,9,8,1,0,8,6,8,0.605,182
6,2,5,2,6,9,7,7,6,5,2,5,6,6,2,9,9,9,3,8,0.57,183
3,4,4,8,7,4,6,5,4,2,4,7,5,3,8,3,4,3,4,6,0.47,184
9,3,8,2,7,5,7,8,6,4,3,6,6,5,7,6,2,4,5,3,0.53,185
1,3,3,3,2,10,6,3,4,3,6,6,8,6,5,9,2,3,4,4,0.455,186
5,5,2,4,6,5,6,7,3,3,4,6,4,9,3,2,2,5,6,5,0.46,187
1,5,4,8,5,10,3,8,2,5,5,4,5,5,3,6,6,5,9,6,0.525,188
3,3,0,4,7,7,4,5,5,5,3,3,5,3,1,7,3,8,4,3,0.415,189
5,3,2,5,4,0,8,3,7,4,9,5,12,1,8,4,6,10,7,7,0.55,190
6,7,5,7,5,4,4,2,3,5,6,4,2,3,2,4,5,10,5,5,0.47,191
5,4,4,7,10,6,2,5,3,6,4,2,2,6,3,3,3,6,4,5,0.45,192
7,3,5,5,6,6,3,6,5,6,10,7,3,5,6,4,5,9,5,1,0.535,193
3,1,7,4,3,4,7,7,4,6,10,5,8,6,13,5,5,5,6,11,0.6,194
5,4,4,5,8,2,5,8,4,5,6,4,5,3,2,7,7,9,6,5,0.52,195
4,10,2,5,5,4,7,7,2,3,7,5,5,4,3,1,8,5,7,9,0.515,196
8,5,5,1,10,5,4,3,6,7,9,10,4,4,4,5,10,11,4,6,0.605,197
3,5,1,4,2,6,4,4,4,3,5,1,3,12,4,6,2,1,5,2,0.385,198
1,6,4,9,7,3,4,5,5,1,7,7,6,6,3,3,4,2,7,7,0.485,199
2,3,3,4,5,4,7,7,2,3,8,8,7,5,5,2,4,5,7,3,0.47,200
6,5,4,7,5,8,3,9,8,7,4,7,9,3,7,4,2,5,6,5,0.57,201
5,6,7,4,5,5,5,3,5,5,7,7,11,7,4,5,5,5,7,5,0.565,202
6,5,8,9,6,6,2,10,1,4,5,3,6,4,5,4,5,7,5,4,0.525,203
2,9,7,5,4,9,7,6,4,6,3,2,5,6,7,7,12,4,7,6,0.59,204
5,6,4,2,6,6,8,4,8,6,12,8,4,5,6,7,6,3,7,10,0.615,205
4,3,7,6,5,2,5,2,1,2,7,7,5,5,1,3,6,3,4,2,0.4,206
5,4,9,7,5,4,6,6,4,4,8,9,3,3,6,7,2,4,6,2,0.52,207
5,8,3,6,3,2,8,3,5,3,7,8,8,7,5,4,2,4,9,7,0.535,208
3,5,4,7,7,2,3,5,9,3,4,7,5,3,5,1,4,3,3,2,0.425,209
10,4,3,5,6,8,2,7,7,7,7,5,3,6,2,8,5,6,3,6,0.55,210
10,8,7,3,6,4,3,4,6,5,9,7,4,2,3,3,2,5,5,4,0.5,211
4,5,2,4,5,1,7,5,7,5,4,5,7,6,5,5,7,4,8,7,0.515,212
8,6,7,2,3,4,5,4,4,6,4,4,6,13,4,8,2,1,7,6,0.52,213
5,4,4,10,8,2,3,7,1,6,2,3,1,3,2,7,2,5,8,7,0.45,214
5,2,4,6,5,8,5,3,7,4,7,7,7,8,5,2,4,1,1,6,0.485,215
7,5,1,4,6,3,10,6,3,4,5,4,4,4,4,3,3,7,5,5,0.465,216
8,5,4,7,5,5,5,4,9,5,8,1,7,9,4,2,6,5,8,6,0.565,217
1,5,5,10,4,5,6,2,3,3,8,3,5,3,4,5,6,3,13,7,0.505,218
5,7,3,4,10,3,4,5,5,6,3,4,4,6,5,8,5,4,10,4,0.525,219
4,5,4,6,7,5,8,4,6,2,2,6,6,4,4,2,8,1,6,13,0.515,220
8,3,4,2,5,3,6,6,5,5,2,4,3,7,5,1,3,5,1,5,0.415,221
9,3,6,9,4,6,11,7,6,3,3,10,3,7,4,3,9,2,3,5,0.565,222
8,4,9,8,5,4,9,4,3,12,9,6,2,3,7,6,7,7,8,3,0.62,223
0,4,3,2,9,3,5,7,4,10,7,6,5,3,4,4,5,9,6,6,0.51,224
5,3,0,4,6,4,3,3,4,6,1,3,7,8,3,7,6,1,2,4,0.4,225
4,8,5,4,3,3,4,5,8,7,4,3,2,7,6,9,5,4,5,8,0.52,226
5,2,9,3,8,7,4,2,1,6,6,6,6,8,7,5,6,5,3,6,0.525,227
3,5,9,0,9,6,9,6,4,4,5,6,8,4,7,8,4,6,6,5,0.57,228
3,3,4,5,6,7,5,2,7,6,3,3,3,7,2,3,5,5,7,4,0.45,229
9,4,4,5,4,4,4,7,7,7,10,3,9,3,8,4,4,2,8,4,0.55,230
4,2,5,1,3,3,3,11,1,4,7,3,5,2,0,4,2,5,6,5,0.38,231
6,6,6,8,3,1,7,4,6,4,5,3,4,4,9,3,3,4,7,6,0.495,232
6,7,4,6,4,6,6,4,4,7,4,5,1,6,3,7,2,6,5,3,0.48,233
5,2,5,7,4,4,4,7,9,2,4,4,4,2,6,2,5,5,5,2,0.44,234
4,3,1,4,6,2,4,3,6,4,1,5,4,2,6,7,9,4,6,2,0.415,235
7,3,5,5,4,5,5,5,2,10,5,6,2,6,4,9,7,5,1,3,0.495,236
4,9,6,2,5,6,3,5,0,2,4,5,7,4,6,4,9,3,8,4,0.48,237
3,4,9,4,2,8,6,6,5,2,5,3,4,6,8,6,6,3,7,6,0.515,238
6,4,10,7,9,5,4,8,6,3,4,3,4,6,4,7,9,3,3,5,0.55,239
8,6,9,5,7,5,4,5,5,3,7,6,8,3,7,6,4,5,5,4,0.56,240
3,2,5,5,7,6,6,4,8,9,7,6,2,4,6,5,7,3,3,2,0.5,241
8,5,1,8,5,7,6,9,5,4,8,4,4,2,9,5,6,7,7,8,0.59,242
10,2,8,3,4,6,7,6,2,7,7,6,7,4,6,8,4,3,6,6,0.56,243
1,6,3,3,5,5,3,3,2,10,9,5,6,3,4,7,7,7,10,4,0.515,244
5,4,8,5,6,3,12,9,5,4,4,4,7,11,4,2,6,7,3,5,0.57,245
4,3,9,4,5,3,0,5,9,4,3,2,4,1,6,1,7,4,2,0,0.38,246
5,5,3,6,3,4,3,5,3,8,5,7,3,6,2,7,8,6,5,4,0.49,247
4,6,6,8,2,5,6,3,3,6,7,5,5,5,4,5,6,11,8,4,0.545,248
7,7,2,5,8,3,5,6,3,4,6,4,5,3,1,4,2,2,5,7,0.445,249
4,3,8,6,4,7,10,4,6,7,3,4,6,2,2,4,2,3,3,1,0.445,250
3,5,5,3,2,6,5,7,3,5,2,1,4,3,6,5,9,10,4,3,0.455,251
4,6,4,5,6,4,12,2,3,4,7,6,3,10,2,4,4,10,5,4,0.525,252
7,5,5,3,7,4,3,8,7,5,4,11,5,5,5,3,7,4,6,6,0.55,253
3,1,3,5,8,1,7,5,4,3,6,4,4,7,2,4,3,3,7,5,0.425,254
8,1,5,7,11,3,6,6,3,6,3,6,5,4,7,4,3,4,5,7,0.52,255
3,9,4,5,5,6,5,2,2,4,2,5,5,3,2,1,6,8,2,6,0.425,256
3,6,6,8,3,7,7,3,5,5,4,10,5,6,8,7,7,3,5,5,0.565,257
7,5,6,8,3,4,2,3,6,5,7,3,6,3,5,3,11,2,5,2,0.48,258
1,3,5,4,10,5,5,5,3,7,10,4,4,3,4,4,3,6,5,7,0.49,259
6,4,5,3,6,3,3,1,3,9,5,5,6,6,4,4,2,5,7,9,0.48,260
6,8,3,7,4,8,2,4,3,4,4,5,5,4,3,3,6,6,5,6,0.48,261
6,5,3,7,5,2,5,6,7,4,1,6,2,6,2,10,8,4,9,6,0.52,262
5,6,4,5,2,5,2,5,4,6,12,2,8,10,3,11,4,5,4,5,0.54,263
4,5,8,5,1,1,3,6,2,5,5,3,3,3,7,6,2,5,4,4,0.41,264
2,7,7,8,2,7,5,12,5,9,1,4,5,4,2,6,5,6,4,4,0.525,265
6,4,2,5,5,5,3,5,10,5,3,6,4,4,9,3,3,3,5,6,0.48,266
7,4,2,3,5,7,1,2,7,7,9,7,5,8,8,7,6,2,7,6,0.55,267
3,3,3,7,6,6,4,6,4,6,5,9,7,2,7,3,4,4,5,10,0.52,268
6,3,3,7,4,6,2,5,5,3,5,5,4,3,2,4,5,4,9,4,0.445,269
8,3,5,4,4,4,2,4,4,2,5,7,5,3,2,6,6,8,6,3,0.455,270
3,7,5,3,5,7,1,6,5,8,9,7,6,6,1,1,7,5,4,6,0.51,271
8,9,7,2,5,9,5,7,6,1,5,4,3,10,3,6,8,9,2,4,0.565,272
6,2,6,2,3,6,1,6,5,6,5,3,3,4,8,6,3,8,4,6,0.465,273
4,7,4,7,10,3,5,3,7,5,5,2,6,6,6,5,8,7,2,4,0.53,274
9,1,4,4,4,4,4,5,4,6,10,1,2,2,5,3,5,5,4,8,0.45,275
4,4,5,7,5,6,9,4,7,4,3,6,9,7,8,5,5,3,4,5,0.55,276
7,5,1,3,2,2,6,8,5,3,10,5,3,6,2,3,3,8,3,3,0.44,277
5,3,5,7,3,4,10,1,4,6,5,4,5,2,7,4,5,4,2,3,0.445,278
10,1,6,6,6,4,5,4,5,5,3,6,4,4,5,4,5,6,5,2,0.48,279
7,6,8,5,2,4,5,4,6,3,1,2,0,4,2,6,7,4,5,1,0.41,280
1,7,3,4,5,5,7,5,5,6,5,4,6,2,7,5,7,5,7,3,0.495,281
6,12,8,2,6,5,7,5,3,6,6,6,7,5,6,4,6,6,3,2,0.555,282
5,4,5,6,5,1,9,6,2,4,0,5,3,9,6,5,3,6,8,8,0.5,283
6,5,6,6,2,6,4,11,3,3,3,3,12,3,5,6,3,7,5,8,0.535,284
5,2,7,2,2,8,4,7,9,4,1,3,2,6,4,7,2,4,5,5,0.445,285
5,1,3,7,4,2,2,6,10,6,5,3,6,4,11,3,2,3,5,8,0.48,286
4,4,6,6,5,6,2,5,7,5,6,5,7,6,10,8,2,5,2,7,0.54,287
8,4,5,4,12,3,4,5,4,7,7,5,8,8,7,4,5,4,8,6,0.59,288
4,5,5,5,9,7,5,5,4,2,6,8,6,5,10,3,4,7,4,4,0.54,289
8,5,5,4,4,7,6,3,7,6,5,7,1,7,5,4,3,1,5,7,0.5,290
7,1,1,4,6,5,6,11,3,10,3,7,1,6,3,7,2,3,7,2,0.475,291
3,2,10,9,5,3,2,2,9,3,7,4,7,4,7,12,4,6,3,3,0.525,292
5,7,4,4,1,3,5,5,6,5,5,7,3,5,13,9,1,5,6,3,0.51,293
4,3,4,8,4,7,6,7,5,9,4,5,3,2,4,4,6,6,1,6,0.49,294
5,6,5,8,3,5,7,6,5,6,9,3,8,4,6,6,5,6,6,3,0.56,295
5,3,2,8,4,4,9,4,7,4,6,12,5,4,6,4,4,6,5,6,0.54,296
